event_date,singups,paidmedia_offline_spend,paidmedia_online_spend,holiday
2014-06-29,6311,,288500.81,
2014-06-30,8538,,369213.65,
2014-07-01,7416,,321263.74,
2014-07-02,7541,,324447.86,
2014-07-03,7653,,284499.5,
2014-07-04,6070,,229690.37,
2014-07-05,5785,,206241.67,
2014-07-06,6002,,235779.5,
2014-07-07,7168,,295292.68,
2014-07-08,7568,,311627.09,
2014-07-09,7202,,305787.89,
2014-07-10,7175,,279909.98,
2014-07-11,7657,,265822.74,
2014-07-12,6794,,223886.6,
2014-07-13,5774,,210963.57,
2014-07-14,7514,,295736.41,
2014-07-15,8306,,312401.58,
2014-07-16,9225,,294058.36,
2014-07-17,7944,,279458.85,
2014-07-18,8551,,260120.99,
2014-07-19,7422,,230933.05,
2014-07-20,6368,,213670.22,
2014-07-21,7727,,297389.06,
2014-07-22,8192,,311298.66,
2014-07-23,8745,,303922.93,
2014-07-24,8717,,296715.36,
2014-07-25,9200,,283252.12,
2014-07-26,7200,,211838.48,
2014-07-27,6708,,195340.56,
2014-07-28,7654,,254932.99,
2014-07-29,8099,,264915.41,
2014-07-30,9083,,257075.37,
2014-07-31,8470,,246525.95,
2014-08-01,9268,,242689.23,
2014-08-02,7796,,220532.76,
2014-08-03,6579,,222813.61,
2014-08-04,7048,,245265.17,
2014-08-05,7419,,263855.18,
2014-08-06,8451,,260691.77,
2014-08-07,7950,,257683.17,
2014-08-08,8164,,250362.23,
2014-08-09,7361,,204748.67,
2014-08-10,5964,,184380.41,
2014-08-11,6962,,254190.25,
2014-08-12,7217,,273609.93,
2014-08-13,8192,,249452.05,
2014-08-14,7241,,232431.88,
2014-08-15,7761,,222529.8,
2014-08-16,6851,,208005.44,
2014-08-17,5865,,197809.02,
2014-08-18,6327,,232377.12,
2014-08-19,6492,,230949.39,
2014-08-20,6999,,227778.73,
2014-08-21,7113,,236114.43,
2014-08-22,7537,,245530.06,
2014-08-23,6705,,231124.32,
2014-08-24,5799,,207942.99,
2014-08-25,6161,,234536.81,
2014-08-26,6254,,244517.15,
2014-08-27,7421,,234689.07,
2014-08-28,7893,,213310.4,
2014-08-29,8184,,219761.8,
2014-08-30,6734,,198123.75,
2014-08-31,6177,,192826.07,
2014-09-01,6362,,213201.09,
2014-09-02,5880,,216871.1,
2014-09-03,7276,,214903.74,
2014-09-04,7455,,225780.07,
2014-09-05,7791,,233069.61,
2014-09-06,7192,,244638.41,
2014-09-07,5757,,198645.54,
2014-09-08,6477,,264034.27,BirthOfVirginMary
2014-09-09,7118,,286364.38,
2014-09-10,6789,,284426.14,
2014-09-11,6658,,275006.82,
2014-09-12,7881,,288835.22,
2014-09-13,6902,,285112.29,
2014-09-14,5838,,243106.44,
2014-09-15,6326,,313838.63,
2014-09-16,6587,,319593.01,
2014-09-17,8481,,306261.45,
2014-09-18,7229,,289525.88,
2014-09-19,8381,,282584.17,
2014-09-20,7318,,252904.63,
2014-09-21,5764,,228175.39,
2014-09-22,5993,,264659.17,
2014-09-23,6821,,274638.95,
2014-09-24,7432,,283049.26,
2014-09-25,9521,,308671.96,
2014-09-26,7900,,233927.54,
2014-09-27,6908,,198655.97,
2014-09-28,5973,,197238.71,
2014-09-29,6157,,251391.54,
2014-09-30,6266,,262112.74,
2014-10-01,6532,,271401.13,
2014-10-02,6641,,251169.12,
2014-10-03,7404,,246611.75,
2014-10-04,6617,,214065.9,
2014-10-05,5436,,191680.14,
2014-10-06,5748,,241573.54,
2014-10-07,5820,,252377.05,
2014-10-08,6771,,238686.48,
2014-10-09,6270,,224824.72,
2014-10-10,7300,,240839.08,
2014-10-11,6721,,213000.64,
2014-10-12,5943,,195082.6,
2014-10-13,6337,,244331.2,
2014-10-14,5827,,240110.6,
2014-10-15,6868,,223784.28,
2014-10-16,6741,,222114.56,
2014-10-17,7250,,220377.2,
2014-10-18,6405,,178895.56,
2014-10-19,5643,,162319.87,
2014-10-20,6555,,238512.07,
2014-10-21,7152,,259225.34,
2014-10-22,7163,,244897.62,
2014-10-23,6850,,232531.6,
2014-10-24,7081,,209219.99,
2014-10-25,6090,,179817.92,
2014-10-26,5310,,169877.79,
2014-10-27,5752,,226064.68,
2014-10-28,5589,,231597.17,
2014-10-29,6757,,251514.47,
2014-10-30,6419,,224429.05,
2014-10-31,6069,,210568.77,
2014-11-01,5969,,202708,AllSaintsDay
2014-11-02,5699,,203506.91,AllSoulsDay
2014-11-03,6026,,243944.39,
2014-11-04,6778,,259559.75,
2014-11-05,7356,,259269.2,
2014-11-06,7590,,250347.04,
2014-11-07,8107,,225296.06,
2014-11-08,7419,,184874.73,
2014-11-09,6850,,174737.62,
2014-11-10,7376,,218345.28,
2014-11-11,5739,,204133.95,
2014-11-12,9230,,294178.37,
2014-11-13,10145,,326625.47,
2014-11-14,9449,,258786.39,
2014-11-15,7387,,200448.4,
2014-11-16,6421,,194247.45,
2014-11-17,11976,,248077.26,
2014-11-18,18473,,284843.28,
2014-11-19,7785,,283202.18,
2014-11-20,8127,,279976.14,
2014-11-21,8603,,256190.74,
2014-11-22,7501,,204472.76,
2014-11-23,6650,,188872.42,
2014-11-24,6916,,243523.8,
2014-11-25,6726,,223373.78,
2014-11-26,7125,,221551.16,
2014-11-27,6171,,162624.01,Thanksgiving
2014-11-28,12863,,298264.66,BlackFriday
2014-11-29,10059,,261725.98,
2014-11-30,8574,,230235.56,Advent1
2014-12-01,14208,,401856.04,CyberMonday
2014-12-02,11803,,345472.2,
2014-12-03,9280,,326547.66,
2014-12-04,10007,,334181.63,
2014-12-05,10505,,289916.41,
2014-12-06,9160,,239709.51,
2014-12-07,8687,,218962.43,Advent2
2014-12-08,9303,,286870.5,
2014-12-09,9621,,312687.19,
2014-12-10,9244,,294614.14,
2014-12-11,8385,,273330.04,
2014-12-12,10039,,337962.71,
2014-12-13,9629,,309948.03,
2014-12-14,8016,,255258.96,Advent3
2014-12-15,8235,,305940.97,
2014-12-16,8411,,299789.37,
2014-12-17,8053,,273972.39,
2014-12-18,7888,,259779.85,
2014-12-19,8811,,252738.63,
2014-12-20,7878,,219355.48,
2014-12-21,6779,,199895.93,Advent4
2014-12-22,8773,,341352.38,
2014-12-23,9598,,355153.73,
2014-12-24,8347,,234752.07,ChristmasEve
2014-12-25,5308,,140897.24,ChristmasDay
2014-12-26,6180,,232945.12,BoxingDay
2014-12-27,6637,,228618.44,
2014-12-28,5862,,211246.86,
2014-12-29,6996,,294769.15,
2014-12-30,7306,,248688.31,
2014-12-31,6347,,200257.3,
2015-01-01,4925,,170590.06,NewYearsDay
2015-01-02,7292,,248715.88,
2015-01-03,7022,,214819.87,
2015-01-04,6491,,186695.23,
2015-01-05,6309,,233736.98,
2015-01-06,5998,,224261.08,Epiphany
2015-01-07,7268,,260607.76,
2015-01-08,7441,,252035.34,
2015-01-09,7004,,218182.74,
2015-01-10,6599,,199235.14,
2015-01-11,6209,,189967.38,
2015-01-12,6289,,230584.94,
2015-01-13,5874,,231939.19,
2015-01-14,6962,,268955.12,
2015-01-15,7772,,302879.54,
2015-01-16,8039,,297072.96,
2015-01-17,7333,,260248.84,
2015-01-18,6653,,240167.72,
2015-01-19,7119,,287107.13,
2015-01-20,6301,,286692.19,
2015-01-21,7017,,279031.38,
